Subject,Code,Title,Prerequisites
GLBH,GLBH 107,Health of Refugees and Displaced Populations in Local and Global Contexts,N/A
GLBH,GLBH 108,Hispanic and Latinx Issues in Global Health,N/A
GLBH,GLBH 108S,The Indigenous Futures Lab,N/A
GLBH,GLBH 109,Decolonizing Global Health,N/A
GLBH,GLBH 110,Demography and Social Networks in Global Health,N/A
GLBH,GLBH 111,Clinic on the Border: Health Frontiers in Tijuana,N/A
GLBH,GLBH 112,"Medicine, Global Health, and Bioethics",N/A
GLBH,GLBH 113,Women’s Health in Global Perspective,N/A
GLBH,GLBH 114,Latin American Health and Healing,N/A
GLBH,GLBH 114W,Communication and Social Institutions: Global Health Communication,N/A
GLBH,GLBH 115,Social Justice and Health Equity: The Intellectual Legacy of Paul Farmer,N/A
GLBH,GLBH 116,Global Health and Infectious Disease,N/A
GLBH,GLBH 117,Global Health and Non-Communicable Diseases,N/A
GLBH,GLBH 118,Placing People First: Introduction to the Global Health Humanities,N/A
GLBH,GLBH 119,The Intersection of Global Health and Non-Governmental Organizations,N/A
GLBH,GLBH 120,From Global Health to Planetary Health,N/A
GLBH,GLBH 121,Learning to Care for Underserved Populations,N/A
GLBH,GLBH 129,Meaning and Healing,N/A
GLBH,GLBH 130,Global Health and Climate Change,N/A
GLBH,GLBH 139,Native American Health and Healing,N/A
GLBH,GLBH 141,Clinical Perspectives in Global Health,N/A
GLBH,GLBH 142,“When the field is a ward”: Ethnographies of the Clinic,N/A
GLBH,GLBH 143,Mental Health as Global Health Priority,N/A
GLBH,GLBH 146,A Global Health Perspective on HIV,N/A
GLBH,GLBH 147,Global Health and the Environment,N/A
GLBH,GLBH 148,Global Health and Cultural Diversity,N/A
GLBH,GLBH 150,Culture and Mental Health,N/A
GLBH,GLBH 150A,Global Health Horizons Honors Thesis Seminar I,department approval required
GLBH,GLBH 150B,Global Health Horizons Honors Thesis Seminar II,GLBH 150A; department approval required
GLBH,GLBH 160,Global Health Policy,upper-division standing
GLBH,GLBH 171R,Global Mental Health,N/A
GLBH,GLBH 173,Substance Use and Global Mental Health: Case Studies for Research and Praxis,N/A
GLBH,GLBH 181,Essentials of Global Health,N/A
GLBH,GLBH 190,Global Health Careers,N/A
GLBH,GLBH 195,Instructional Apprenticeship in Global Health,N/A
GLBH,GLBH 196,Global Health and Social Justice Seminar,department approval required
GLBH,GLBH 197,Global Health Academic Internship Program,N/A
GLBH,GLBH 198,Directed Group Study,department approval required
GLBH,GLBH 199,Independent Study in Global Health Field Experience,department approval required
GLBH,GLBH 200,Global Health Master’s Core Seminar,graduate-level standing
GLBH,GLBH 201,Special Topics in Global Health,graduate-level standing
GLBH,GLBH 202,Global Health Epidemiology,graduate-level standingordepartment approval required
GLBH,GLBH 211,Clinic on the Border: Health Frontiers in Tijuana,Students must apply to participate in the program quarterly
GLBH,GLBH 212,“Experiencing Epidemics”: Anthropologies of Infectious Diseases,graduate-level standing
GLBH,GLBH 213,Global Health Program Design and Evaluation,"department approval required, graduate-level standing"
GLBH,GLBH 214,Program Management in Global Health,N/A
GLBH,GLBH 215,Community Health Workers,graduate level standing
GLBH,GLBH 241,Clinical Perspectives in Global Health,graduate-level standing
GLBH,GLBH 245,Native American Health and Healing,graduate-level standing
GLBH,GLBH 248,Introduction to Global Health Research,N/A
GLBH,GLBH 249,Social Epidemiology,graduate-level standing
GLBH,GLBH 260,Global Health Policy,graduate-level standing
GLBH,GLBH 261,"Global Health Policy, Diplomacy, and Advocacy",GLBH 260
GLBH,GLBH 274,Global Mental Health,N/A
GLBH,GLBH 281,Essentials of Global Health,graduate level standing
GLBH,GLBH 297,Global Health Internship,"students must complete Special Studies paperwork, have a faculty adviser, and receive department approval"
GLBH,GLBH 298,Directed Study,graduate-level standing
GLBH,GLBH 299,Independent Research,graduate-level standing
GLBH,GLBH 500,Teaching Apprenticeship,graduate-level standing
GSS,GSS 20,Introduction to Global South Studies,N/A
GSS,GSS 21-22-23-25-26-27,"History, Culture, and Politics of the Global South",N/A
GSS,GSS 132,Literature and Global South Societies,N/A
GSS,GSS 190,Undergraduate Seminars,N/A
GSS,GSS 197,Fieldwork,N/A
GSS,GSS 198,Directed Group Studies,upper-division standing
GSS,GSS 199,Independent Study,upper-division standing and consent of instructor
HDS,HDS 1,Introduction to Human Developmental Sciences,N/A
HDS,HDS 60,Introduction to Statistical Analysis,N/A
HDS,HDS 95,Career Development Seminar,N/A
HDS,HDS 98,Directed Group Study,completion of thirty units and a minimum UC San Diego GPA of 3
HDS,HDS 99,Independent Study in Human Developmental Sciences,completion of thirty units and a minimum UC San Diego GPA of 3
HDS,HDS 110,Brain and Behavioral Development,HDP 1 or HDS 1 or PSYC 101
HDS,HDS 111,Evolutionary Principles in Human Development,HDP 1 or HDS 1 or ANTH 2 or BILD 3
HDS,HDS 120,Language Development,HDP 1 or HDS 1 or LIGN 4
HDS,HDS 121,The Developing Mind,HDP 1 or HDS 1 or COGS 1
HDS,HDS 122,Development of Social Cognition,HDP 1 or HDS 1
HDS,HDS 133,Cross-Cultural Perspectives on Developmental Science,HDP 1 or HDS 1 or PSYC 1
HDS,HDS 150,Senior Seminar,"senior standing, HDP 181 or HDS 181"
HDS,HDS 160,Special Topics Seminar in Human Developmental Sciences,"upper-division standing, department approval required"
HDS,HDS 171,Diversity in Human Development: A Cultural Competency Approach,upper-division standing
HDS,HDS 173,"Race, Media, and Identity Development Across the Lifespan",upper-division standing
HDS,HDS 175,"Power, Wealth, and Inequality in Human Development",upper-division standing
HDS,HDS 181,Experimental Projects in Human Development Research,HDS 1 and BIEB 100 or COGS 14B or ECON 120A or MATH 11 or POLI 30 or POLI 30D or PSYC 60
HDS,HDS 191,Field Research in Human Development,N/A
HDS,HDS 193,Advanced Research in Human Developmental Sciences,upper-division standing; department approval required
HDS,HDS 194A-B-C,Honors Thesis in Human Developmental Sciences,overall GPA of 3
HDS,HDS 195,Instructional Apprentice in Human Developmental Sciences,overall GPA of 3
HDS,HDS 199,Independent Study in Human Developmental Sciences,department approval and consent of the instructor required; completion of at least ninety undergraduate units with a minimum of 2
HMNR,HMNR 100: SOCI 174 or HITO 119,Introduction to Human Rights and Global Justice,N/A
HMNR,HMNR 101: COMM 114A,Human Rights II: Contemporary Issues,N/A
HUM,HUM 1,The Foundations of Western Civilization: Israel and Greece,satisfaction of the UC Entry Level Writing requirement; open to Revelle students only
HUM,HUM 2,"Rome, Christianity, and the Middle Ages",satisfaction of the UC Entry Level Writing requirement; open to Revelle students only
HUM,HUM 3,"Renaissance, Reformation, and Early Modern Europe",completion of HUM 1 or HUM 2; open to Revelle students only
HUM,HUM 3R,"Renaissance, Reformation, and Early Modern Europe",completion of HUM 1 or HUM 2; open to Revelle students only
HUM,HUM 3GS,"Renaissance, Reformation, and Early Modern Europe",satisfaction of the UC Entry Level Writing requirement and acceptance into Global Seminar Program
HUM,HUM 4,"Enlightenment, Romanticism, Revolution",satisfaction of the UC Entry Level Writing requirement; open to Revelle students only
HUM,HUM 4R,"Enlightenment, Romanticism, Revolution",satisfaction of the UC Entry Level Writing requirement; open to Revelle students only
HUM,HUM 4GS,"Enlightenment, Romanticism, Revolution",satisfaction of the UC Entry Level Writing requirement and acceptance into Global Seminar Program
HUM,HUM 5,Modern Culture,satisfaction of the UC Entry Level Writing requirement; open to Revelle students only
HUM,HUM 5R,Modern Culture,satisfaction of the UC Entry Level Writing requirement; open to Revelle students only
HUM,HUM 5GS,Modern Culture,satisfaction of the UC Entry Level Writing requirement and acceptance into Global Seminar Program
HUM,HUM 88,"Learning Sustainable Well-Being: Compassion for Self and Others, a Humanities Perspective",N/A
HUM,HUM 100,Advanced Topics in the Humanities,open to Revelle students only
HUM,HUM 119,Special Topics in Humanities,N/A
HUM,HUM 195,Methods of Teaching Humanities,consent of instructor
HUM,HUM 199,Special Studies,upper-division standing or consent of instructor
HUM,HUM 200,Seminar in the Humanities,graduate standing
INTL,INTL 97,Internship,department approval required
INTL,INTL 100,"Analysis, Argument, and Real-World Problems",sophomore standing or above and completion of at least one quarter of a university-level writing course
INTL,INTL 101,Culture and Society in International Perspective,completion of INTL 100 with a grade of C– or better
INTL,INTL 102,"Economics, Politics, and International Change",completion of INTL 100 with a grade of C– or better
INTL,INTL 190,Seminar in International Studies,"open to international studies majors only; successful completion with a C– or better of INTL 100, INTL 101, and 102"
INTL,INTL 190H,Honors Seminar in International Studies,international studies major with 3
INTL,INTL 196H,International Studies Honors Program,international studies major with 3
INTL,INTL 197,Internship,department approval required; junior and senior standing
JAPN,JAPN 180,Special Topics in Japanese Studies,N/A
JAPN,JAPN 190,Japanese Studies Research Seminar,N/A
JAPN,JAPN 10A,First-Year Japanese,N/A
JAPN,JAPN 10B,First-Year Japanese,previous course or consent of instructor
JAPN,JAPN 10C,First-Year Japanese,previous course or consent of instructor
JAPN,JAPN 20A,Second-Year Japanese,previous course or consent of instructor
JAPN,JAPN 20B,Second-Year Japanese,previous course or consent of instructor
JAPN,JAPN 20C,Second-Year Japanese,previous course or consent of instructor
JAPN,JAPN 130A,Third-Year Japanese,previous course or consent of instructor
JAPN,JAPN 130B,Third-Year Japanese,previous course or consent of instructor
JAPN,JAPN 130C,Third-Year Japanese,previous course or consent of instructor
JAPN,JAPN 135A,Professional Skills in Japanese,"JAPN 20C, or consent of instructor"
JAPN,JAPN 135B,Professional Skills in Japanese,"JAPN 135A, or consent of instructor"
JAPN,JAPN 135C,Professional Skills in Japanese,JAPN 135B
JAPN,JAPN 137A,Business Japanese,JAPN 20C or consent of instructor
JAPN,JAPN 137B,Business Japanese,JAPN 20C or consent of instructor
JAPN,JAPN 137C,Business Japanese,JAPN 20C or consent of instructor
JAPN,JAPN 140A,Fourth-Year Japanese,previous course or consent of instructor
JAPN,JAPN 140B,Fourth-Year Japanese,previous course or consent of instructor
JAPN,JAPN 140C,Fourth-Year Japanese,previous course or consent of instructor
JAPN,JAPN 150A-B-C,Advanced Japanese,previous course or consent of instructor
JWSP,JWSP 1,Beginning Hebrew,N/A
JWSP,JWSP 2,Intermediate Hebrew,N/A
JWSP,JWSP 3,"Intermediate Hebrew, Continued",N/A
JWSP,JWSP 87,First-year Student Seminar,N/A
JWSP,JWSP 101,Introduction to Hebrew Texts,N/A
JWSP,JWSP 102,Intermediate Hebrew Texts,N/A
JWSP,JWSP 103,Advanced Hebrew Texts,N/A
JWSP,JWSP 104,Practicum in Advanced Hebrew,N/A
JWSP,JWSP 110,Introduction to Judaism,N/A
JWSP,JWSP 111,Topics in Judaic Studies,upper-division standing or consent of instructor
JWSP,JWSP 130,Introduction to the Old Testament: The Historical Books,upper-division standing or consent of instructor
JWSP,JWSP 131,Introduction to the Old Testament: The Poetic Books,JWSP 100A; upper-division standing or consent of instructor
JWSP,JWSP 196A,Jewish Studies Honors Course,"admission to Jewish Studies Honors Program; JWSP 100, JWSP103, HITO 104, HITO 105; upper-division electives in Jewish studies; at least junior standing; overall 3"
JWSP,JWSP 196B,Jewish Studies Honors Course,"admission to Jewish Studies Honors Program; previous enrollment in JWSP 196A; JWSP 100, JWSP 103, HITO 104, HITO 105; upper-division electives in Jewish studies; at least junior standing; overall 3"
JWSP,JWSP 198,Directed Group Study in Jewish Studies,N/A
JWSP,JWSP 199,Independent Study in Jewish Studies,N/A
LATI,LATI 10,Reading North by South: Latin American Studies and the US Liberation Movements,N/A
LATI,LATI 50,Introduction to Latin America,N/A
LATI,LATI 124,Ethnoracial Politics in Latin America,N/A
LATI,LATI 130,Latinx Environmental Justice,N/A
LATI,LATI 131,Gender as a Border,N/A
LATI,LATI 140,Decolonial Thought and Practices in Latin America,N/A
LATI,LATI 150,Digital Oral History in Latin America,LATI 50; upper-division standing
LATI,LATI 160,Latin American Third Cinema,N/A
LATI,LATI 165,Visual Culture in Latin America,N/A
LATI,LATI 166,Latin Food Culture: Culinary Ethnography of the Americas,N/A
LATI,LATI 170,Social Science Research in Latin America,N/A
LATI,LATI 175,Participatory Action Research: Action and Knowledge,N/A
LATI,LATI 180,Special Topics in Latin American Studies,"LATI 50 or permission of instructor, upper-division standing"
LATI,LATI 184,Special Topics in Global South Studies,N/A
LATI,LATI 190,Senior Seminar,satisfactory completion of LATI 50 and a working knowledge of Spanish
LATI,LATI 199,Individual Study,LATI 50 and working knowledge of Spanish
LATI,LATI 200,Core Seminar on Interdisciplinary Research and Methodology in Latin American Studies,enrollment in the master’s degree program in Latin American Studies or permission of instructor
LATI,LATI 298,Directed Reading,graduate standing in Latin American Studies
LATI,LATI 299,Independent Research,N/A
LATI,LATI 500,Teaching Apprenticeship,N/A
LAWS,LAWS 101,Contemporary Legal Issues,upper-division standing or consent of instructor
LAWS,LAWS 102S,"Crimes, Civil Wrongs, and Constitution",upper-division standing or consent of instructor
LHCO,LHCO 202,Strategic Management and Organizational Change,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 203,Using and Managing Information and Information Technologies,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 204,"Conflict Resolution, Negotiation, and Team Building",admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 206,Topics in Financial Management and Decision Making,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 209,Outcomes and Quality Improvement,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 212,Statistics and Applied Decision Making,admission to MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 213,Financial Accounting and Analysis,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 215,Modern Health Care,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 216,Healthcare Leadership,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 217,Project Management for Healthcare Professionals,N/A
LHCO,LHCO 218,Professional Development Seminar: Mentorship and Assessment,N/A
LHCO,LHCO 219,Process Improvement in Health Care,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 220,Topics in Health Law,admission to the MAS in the Leadership of Healthcare Organizations Program or consent of department
LHCO,LHCO 221,Current Topics in Healthcare,N/A
LHCO,LHCO 298,Independent Study Project in the Management of Health Care,"LHCO 218, admission to the MAS in the Leadership of Healthcare Organizations Program, or consent of department"
MAE,MAE 02,Introduction to Aerospace Engineering,none
MAE,MAE 03,Introduction to Mechanical Design,PHYS 2A or 4A
MAE,MAE 05,Quantitative Computer Skills,none
MAE,MAE 07,Spatial Visualization,none
MAE,MAE 08,MATLAB Programming for Engineering Analysis,MATH 20A and 20B or consent of instructor
MAE,MAE 11,Thermodynamics,PHYS 2C and CHEM 6A
MAE,MAE 20,Elements of Materials Science,"PHYS 2A or 4A, CHEM 6A or CHEM 6AH, and MATH 20C"
MAE,MAE 21,Aerospace Materials Science,"PHYS 2A or 4A, CHEM 6A or CHEM 6AH, and MATH 20B"
MAE,MAE 30A,Statics and Introduction to Dynamics(4),PHYS 2A and MATH 31BH or MATH 20C
MAE,MAE 30B,Dynamics and Vibrations,MAE 30A
MAE,MAE 40,Linear Circuits,"MATH 20D and MATH 31AH or MATH 18 or MATH 20F, and PHYS 2B"
MAE,MAE 87,First-year Student Seminar,none
MAE,MAE 88,"Learn Sustainable Well-Being: Compassion for Self and Others, an Engineer’s Perspective",none
MAE,MAE 91,Introduction to Topics in Mechanical and Aerospace Engineering,none
MAE,MAE 92A,"Design Competition—Design, Build, and Fly Aircraft",consent of instructor
MAE,MAE 93,"Design Competition—Design, Build, and Test Race Car",N/A
MAE,MAE 94,Rocketry Competitions—Design and Build Rockets and Space Systems,department approval
MAE,MAE 98,Directed Group Study,department approval
MAE,MAE 99H,Independent Study,student must be of first-year standing and a Regent’s Scholar; approved Special Studies form
MAE,MAE 101A,Introductory Fluid Mechanics,"PHYS 2A or 4A and MATH 20D and MATH 20E or MATH 31CH, or consent of instructor"
MAE,MAE 101B,Advanced Fluid Mechanics,"MAE 101A or CENG 101A, and MAE 11 or MAE 110A or CENG 102, or consent of instructor"
MAE,MAE 101C,Heat Transfer,"MAE 101A or CENG 101A,MAE 101B,and MAE 105"
MAE,MAE 101D,Intermediate Heat Transfer,"senior standing and MAE 101C, or consent of instructor"
MAE,MAE 104,Aerodynamics,"MAE 101A and 101B, or consent of instructor"
MAE,MAE 105,Introduction to Mathematical Physics,"PHYS 2A and B, and MATH 20D or 21D"
MAE,MAE 107,Computational Methods in Engineering,"MAE 8 or 9, and MATH 18 or 20F or 31AH"
MAE,MAE 108,Probability and Statistical Methods for Engineering,MATH 18 or 20F
MAE,MAE 110,Thermodynamic Systems,MAE 11 or 110A
MAE,MAE 113,Fundamentals of Propulsion,"MAE 11 or MAE 110A or CENG 102, and MAE 101A or CENG 101A, and MAE 101B or CENG 101C"
MAE,MAE 114,Space Propulsion,MAE 113
MAE,MAE 117A,Elementary Plasma Physics,"MATH 20D or 21D, or consent of instructor"
MAE,MAE 118,Introduction to Energy and Environment,"MAE 101A or CENG 101A, or consent of instructor"
MAE,MAE 119,Introduction to Renewable Energy: Solar and Wind,PHYS 2C or consent of instructor
MAE,MAE 120,Introduction to Nuclear Energy,"MAE 101A or CENG 101A, or consent of instructor"
MAE,MAE 121,Air Pollution Transport and Dispersion Modeling,MAE 122
MAE,MAE 122,Flow and Transport in the Environment,"MAE 101A or CENG 101A, or consent of instructor"
MAE,MAE 123,Introduction to Transport in Porous Media,"MAE 105,or consent of instructor"
MAE,MAE 125,Building Energy Efficiency,upper-division standing
MAE,MAE 126A,Environmental Engineering Laboratory,MAE 101A or CENG 101A; MAE 170
MAE,MAE 126B,Environmental Engineering Design,MAE 126A
MAE,MAE 130,Advanced Vibrations,MATH 18 or MATH 31AH and MAE 30B
MAE,MAE 131A,Solid Mechanics I,MATH 20D and MAE 30A or MAE 130A or SE 101A
MAE,MAE 131B,Fundamentals of Solid Mechanics II,MAE 131A or SE 110A and MAE 105
MAE,MAE 133,Finite Element Methods in Mechanical and Aerospace Engineering,MAE 131A or SE 110A
MAE,MAE 142,Dynamics and Control of Aerospace Vehicles,"MAE 104 and MAE 143B or ECE 171A, or consent of instructor"
MAE,MAE 143A,Signals and Systems,"MATH 20D or 21D, MATH 20E, MATH 18 or 20F or 31AH, or consent of instructor"
MAE,MAE 143B,Linear Control,MAE 143A or consent of instructor
MAE,MAE 144,Embedded Control and Robotics,"upper-division standing or graduate student, and MAE 143B or BENG 122A or ECE 171A, or consent of instructor"
MAE,MAE 145,Introduction to Robotic Planning and Estimation,"MAE 8, MAE 108, and senior standing or consent of instructor"
MAE,MAE 146,Introduction to Machine Learning Algorithms,(MATH 31AH or MATH 18) and (MATH 20C or MATH 31BH) and MAE 8 and (MAE 108 or ECE 109 or SE 125 or MATH 186 or MATH 183 or MATH 180A or ECON 120A)
MAE,MAE 148,Introduction to Autonomous Vehicles,ECE 15 or ECE 35 or MAE 2 or MAE 3 and department approval
MAE,MAE 149,Sensor Networks,upper-division standing
MAE,MAE 150,Computational Methods for Design,"MAE 30A or MAE 130A or SE 101A or BENG 110, MAE 107 or SE 121, MAE 3 or MAE 2, and senior standing in engineering major, or consent of instructor"
MAE,MAE 152,Introductions to Manual and CNC Machining,MAE 3 or MAE 2 and consent of instructor
MAE,MAE 153,Design of Machine Components,MAE 131A
MAE,MAE 154,Product Design and Entrepreneurship,upper-division standing and consent of instructor
MAE,MAE 155A,Aerospace Engineering Design I,"MAE 2, MAE 21, or SE 2 or SE 104, MAE 104, MAE 30B or MAE 130C, and SE 160A, or consent of instructor"
MAE,MAE 155B,Aerospace Engineering Design II,"MAE 113, MAE 142, MAE 155A, and MAE 170, or consent of instructor"
MAE,MAE 156A,Fundamental Principles of Mechanical Design I,"MAE 3, MAE 30B, MAE 131A, MAE 150, and MAE 170, or consent of instructor"
MAE,MAE 156B,Fundamental Principles of Mechanical Design II,"MAE 156A in the immediately preceding quarter, MAE 101C, MAE 143B, and MAE 160 or MAE 131B"
MAE,MAE 160,Mechanical Behavior of Materials,"MAE 20, MAE 30A or MAE 130A or SE 101A, and MAE 131A, or consent of instructor"
MAE,MAE 165,Fatigue and Failure Analysis of Engineering Components,consent of instructor
MAE,MAE 166,Modern Concepts in Nanotechnology,upper-division standing
MAE,MAE 167,Wave Dynamics in Materials,consent of instructor
MAE,MAE 170,Experimental Techniques,PHYS 2C or PHYS 4B and PHYS 2CL or MAE 140 or MAE 40
MAE,MAE 171A,Mechanical Engineering Laboratory I,"MAE 101A,MAE 143B,and MAE 170"
MAE,MAE 171B,Mechanical Engineering Laboratory II,MAE 171A
MAE,MAE 175A,Aerospace Engineering Laboratory I,"senior standing; MAE 143B or CENG 120; and MAE 170, or consent of instructor"
MAE,MAE 180,Orbital Mechanics,N/A
MAE,MAE 181,Space Mission Analysis and Design,upper-division standing or consent of instructor
MAE,MAE 182,Spacecraft Guidance and Navigation,MAE 108 and MAE 180
MAE,MAE 184,Flight Simulation Techniques,upper-division standing or consent of instructor
MAE,MAE 185,Computational Fluid Mechanics,MAE 101B and MAE 107
MAE,MAE 190,Topics in Mechanical and Aerospace Engineering,upper-division standing
MAE,MAE 191,Topics in Mechanical and Aerospace Engineering with Laboratory,upper-division standing
MAE,MAE 197,Engineering Internship,"consent of instructor and department stamp, 2"
MAE,MAE 198,Directed Group Study,consent of instructor
MAE,MAE 199,Independent Study for Undergraduates,consent of instructor
MAE,MAE 200,Controls,nongraduate students may enroll with consent of instructor
MAE,MAE 201,Mechanics of Fluids,nongraduate students may enroll with consent of instructor
MAE,MAE 202,Thermal Processes,nongraduate students may enroll with consent of instructor
MAE,MAE 203,Solid Mechanics and Materials,nongraduate students may enroll with consent of instructor
MAE,MAE 204,Robotics,nongraduate students may enroll with consent of instructor
MAE,MAE 205,Graduate Seminar,N/A
MAE,MAE 206,Energy Systems,nongraduate students may enroll with consent of instructor
MAE,MAE 207,Topics in Engineering Science,consent of instructor
MAE,MAE 208,Mathematics for Engineers,nongraduate students can enroll with consent of instructor
MAE,MAE 209,Continuum Mechanics Applied to Medicine/Biology,BENG 226 or MAE 201 and BENG 227 or MAE 201 or MAE 210A and BENG 221 or MAE 208 or consent of instructor
MAE,MAE 210A,Fluid Mechanics I,graduate standing
MAE,MAE 210B,Fluid Mechanics II,BENG 209 or MAE 209 or MAE 210A; or consent of instructor
MAE,MAE 210C,Fluid Mechanics III,MAE 210A–B or consent of instructor
MAE,MAE 211,Introduction to Combustion,graduate standing
MAE,MAE 212,Introductory Compressible Flow,nongraduate students may enroll with consent of instructor
MAE,MAE 213,Mechanics of Propulsion,MAE 212 or graduate standing
MAE,MAE 214A,Introduction to Turbulence and Turbulent Mixing,graduate standing
MAE,MAE 215,Multiphase Flow and Heat Transfer,graduate standing
MAE,MAE 217A,Introduction to Gas Discharge Plasma Physics,consent of instructor
MAE,MAE 217B,Introduction to Nonmagnetized Hot Plasma Physics,MAE 217A or consent of instructor
MAE,MAE 217C,Introduction to Magnetized Hot Plasma Physics,"MAE 217A and B, or consent of instructor"
MAE,MAE 218A,Introduction to High Energy Density Physics,"MAE 217A, B, and C, or consent of instructor"
MAE,MAE 218B,Introduction to High Energy Density Physics,"MAE 217A, B, and C, or consent of instructor"
MAE,MAE 219,Design and Control of Haptic Systems,graduate standing
MAE,MAE 220A,Physics of Gases,graduate standing
MAE,MAE 220B,Physical Gas Dynamics,MAE 220A and graduate standing
MAE,MAE 221A,Conduction Heat Transfer(4),graduate standing
MAE,MAE 221B,Mass Transfer,graduate standing
MAE,MAE 221C,Convection Heat Transfer,graduate standing
MAE,MAE 221D,Radiation Heat Transfer,graduate standing
MAE,MAE 223,Ocean Technology Design and Development,graduate standing
MAE,MAE 224A,Environmental Fluid Dynamics I,N/A
MAE,MAE 224B,Environmental Fluid Dynamics II,MAE 224A or consent of instructor
MAE,MAE 225A,Nanoscale and Microscale Heat Transfer for Energy Conversion Applications I,"MAE 221A, graduate standing"
MAE,MAE 225B,Nanoscale and Microscale Heat Transfer for Energy Conversion Applications II,"MAE 221A, MAE 225A, and graduate standing"
MAE,MAE 226,Advanced Dynamics,graduate standing
MAE,MAE 227,Convex Optimization for Engineers,graduate standing
MAE,MAE 228,Selected Topics in Plasma Physics,MAE 217A-B-C or consent of instructor
MAE,MAE 230,Introduction to Photonics,graduate standing
MAE,MAE 231A,Foundations of Solid Mechanics,graduate standing
MAE,MAE 231B,Elasticity,"MAE 209/BENG 209, or MAE 231A, or consent of instructor"
MAE,MAE 231C,Inelasticity,"graduate standing and MAE 231A or SE 271, or consent of instructor"
MAE,MAE 232A,Finite Element Methods in Solid Mechanics I,graduate standing
MAE,MAE 232B,Finite Element Methods in Solid Mechanics II,graduate standing and MAE 232A or SE 276A
MAE,MAE 232C,Finite Element Methods in Solid Mechanics III,graduate standing and MAE 232A or SE 276A and MAE 231A or SE 271
MAE,MAE 233A,Fracture Mechanics,"MAE 231A, MAE 231B, or consent of instructor"
MAE,MAE 233B,Micromechanics,MAE 231A-B-C or consent of instructor
MAE,MAE 235,Computational Techniques in Finite Elements,graduate standing
MAE,MAE 238,Stress Waves in Solids,graduate standing or consent of instructor
MAE,MAE 240,Space Flight Mechanics,graduate standing
MAE,MAE 242,Robot Motion Planning,graduate standing
MAE,MAE 243,Electric Power Systems Modeling,graduate standing
MAE,MAE 244,Renewable Energy Integration,graduate standing
MAE,MAE 247,Cooperative Control of Multi-agent Systems,graduate standing
MAE,MAE 248,Safety for Autonomous Systems,graduate standing
MAE,MAE 249,Soft Robotics,graduate standing
MAE,MAE 251,Structure and Analysis of Solids,graduate standing
MAE,MAE 253,Advanced Ceramics,graduate standing
MAE,MAE 254,Energy Materials and Applications,graduate standing
MAE,MAE 255,Boundary Layer and Renewable Energy Meteorology,MAE 210A or consent of instructor
MAE,MAE 256,Radiative Transfer for Energy Applications,graduate standing or consent of instructor
MAE,MAE 257,Polymer Science and Engineering,graduate standing
MAE,MAE 259,ODE Simulation Methods,graduate standing
MAE,MAE 260,Fundamentals and Applications of Computational Materials Science,graduate standing
MAE,MAE 261,Cardiovascular Fluid Mechanics,"MAE 210A and 290A, or consent of instructor"
MAE,MAE 262,Biological Fluid Mechanics,"MAE 209 or 210A and graduate standing, or consent of instructor"
MAE,MAE 263,Experimental Methods in Cell Mechanics,"MAE 209 or MAE 210A, and graduate standing"
MAE,MAE 264,Mechanics and Thermodynamics of Biological Membranes,"MAE 209 and graduate standing, or consent of instructor"
MAE,MAE 265A,Electronic and Photonic Properties of Materials,graduate standing
MAE,MAE 265B,Magnetic Materials: Principles and Applications,graduate standing; consent of instructor
MAE,MAE 266,Biomaterials,consent of instructor
MAE,MAE 267,Nanomaterials and Properties,consent of instructor
MAE,MAE 269,Bioinspired Mobile Robotics,MAE 204
MAE,MAE 270,Multidisciplinary Design Optimization,graduate standing
MAE,MAE 271A,Thermodynamics of Solids,graduate standing
MAE,MAE 271B,Solid State Diffusion and Reaction Kinetics,consent of instructor
MAE,MAE 271C,Phase Transformations,consent of instructor
MAE,MAE 272,Imperfections in Solids,graduate standing
MAE,MAE 273A,Dynamic Behavior of Materials,consent of instructor
MAE,MAE 274,Model Reduction,MAE 280A and MAE 290A
MAE,MAE 276,Mechanics of Soft Materials,graduate standing
MAE,MAE 279,Uncertainty Quantification,graduate standing
MAE,MAE 280A,Linear Systems Theory,N/A
MAE,MAE 280B,Linear Control Design,MAE 280A
MAE,MAE 281A,Nonlinear Systems,MAE 280A
MAE,MAE 281B,Nonlinear Control,MAE 281A
MAE,MAE 283A,Parametric Identification: Theory and Methods,N/A
MAE,MAE 283B,Approximate Identification and Control,MAE 283A
MAE,MAE 284,Robust and Multivariable Control,MAE 141B or MAE 280A
